batch	slice	signal_id	signal_type	parent_signal_id	pathway	pathwayLabel	ligand	receptor	senderRegion	receiverRegion	interactionStrength	interactionPValue	edge_rank_within_signal	downstreamTF	tf_rank	rawCorrelation	correlation	tfPValue	tfFDR	direction	tfSelectionMode	clusterResultKey	edgeFilterLabel
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2a	Fibroblastic	Fibroblastic	0.00020176211899692345	0.0	1	Stat4	1.0	0.26584060284528344	0.26584060284528344	3.830388341208664e-08	3.47033183713505e-05	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2a	Fibroblastic	Fibroblastic	0.00020176211899692345	0.0	1	Pir	2.0	0.22214648796701625	0.22214648796701625	4.899806259642822e-06	0.0022196122356181983	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2a	Fibroblastic	Fibroblastic	0.00020176211899692345	0.0	1	Zfp82	3.0	0.21071891927791572	0.21071891927791572	1.5018389753853121e-05	0.004535553705663642	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2a	Fibroblastic	Fibroblastic	0.00020176211899692345	0.0	1	Zfp54	4.0	0.20011139561397376	0.20011139561397376	4.02766656765696e-05	0.009122664775743014	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2a	Fibroblastic	Fibroblastic	0.00020176211899692345	0.0	1	Zbtb16	5.0	0.18034539958580878	0.18034539958580878	0.00022148519044388665	0.03534248316165715	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2a	Fibroblastic	Fibroblastic	0.00020176211899692345	0.0	1	Zfp2	6.0	0.1796701993352335	0.1796701993352335	0.00023405617987852417	0.03534248316165715	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2a	Fibroblastic	Fibroblastic	0.00020176211899692345	0.0	1	Zfp24	7.0	0.17097784026721116	0.17097784026721116	0.000468108331769382	0.06058659265472287	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2a	Fibroblastic	Fibroblastic	0.00020176211899692345	0.0	1	Mlx	8.0	0.16675944323806874	0.16675944323806874	0.0006476920952634362	0.07335112978858414	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2a	Fibroblastic	Fibroblastic	0.00020176211899692345	0.0	1	Zfp955b	9.0	0.1580386589291782	0.1580386589291782	0.0012374542044868383	0.12457038991834171	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2a	Epithelial	Epithelial	0.0001294776429515817	0.0	2	Zfp459	1.0	0.16116988935943577	0.16116988935943577	9.673966591002143e-05	0.09509509158955107	activation	FDR	commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2a	p<1
