slice,signal_type,parent_signal_id,pathway,ligand,receptor,sender_region,receiver_region,downstreamTF,direction
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2a,Fibroblastic,Fibroblastic,Stat4,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2a,Fibroblastic,Fibroblastic,Pir,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2a,Fibroblastic,Fibroblastic,Zfp82,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2a,Fibroblastic,Fibroblastic,Zfp54,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2a,Fibroblastic,Fibroblastic,Zbtb16,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2a,Fibroblastic,Fibroblastic,Zfp2,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2a,Fibroblastic,Fibroblastic,Zfp24,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2a,Fibroblastic,Fibroblastic,Mlx,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2a,Fibroblastic,Fibroblastic,Zfp955b,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2a,Epithelial,Epithelial,Zfp459,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2a,Epithelial,Epithelial,Rnf114,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2b,Epithelial,Epithelial,Zfp459,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2b,Epithelial,Epithelial,Tfap2a,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2b,Epithelial,Epithelial,Erf,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2b,Fibroblastic,Fibroblastic,Zfp54,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2b,Fibroblastic,Fibroblastic,Zfp955b,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2b,Fibroblastic,Fibroblastic,Zbtb6,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2b,Fibroblastic,Fibroblastic,Zbtb16,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2b,Fibroblastic,Fibroblastic,Zfp458,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2b,Fibroblastic,Fibroblastic,Zfp24,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2b,Fibroblastic,Fibroblastic,Sall2,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2a,PalatalMes,Epithelial,Zfp459,activation
E125,lr_pair,pathway:ACTIVIN,ACTIVIN,Inhba,Acvr1b_Acvr2a,PalatalMes,Epithelial,Rnf114,activation
